,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Tottenham Hotspur,Wilson Odobert,FRA,"FW,MF",19,2004,16,9,850,9.4,1,0,1,1,0,0,0,0,0.11,0.0,0.11,0.11,0.11
ENG-Premier League,2425,Tottenham Hotspur,Yves Bissouma,MLI,MF,27,1996,28,16,1408,15.6,2,0,2,2,0,0,7,0,0.13,0.0,0.13,0.13,0.13
ENG-Premier League,2425,West Ham United,Aaron Cresswell,ENG,DF,34,1989,18,10,824,9.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,West Ham United,Aaron Wan-Bissaka,COD,"DF,MF",26,1997,36,35,3154,35.0,2,5,7,2,0,0,1,0,0.06,0.14,0.2,0.06,0.2
ENG-Premier League,2425,West Ham United,Alphonse Areola,FRA,GK,31,1993,26,25,2260,25.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,West Ham United,Andy Irving,SCO,MF,24,2000,10,1,166,1.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,West Ham United,Carlos Soler,ESP,MF,27,1997,31,14,1409,15.7,1,1,2,1,0,0,6,0,0.06,0.06,0.13,0.06,0.13
ENG-Premier League,2425,West Ham United,Crysencio Summerville,NED,"MF,FW",22,2001,19,7,786,8.7,1,1,2,1,0,0,2,0,0.11,0.11,0.23,0.11,0.23
ENG-Premier League,2425,West Ham United,Danny Ings,ENG,FW,32,1992,15,1,284,3.2,1,2,3,1,0,0,0,0,0.32,0.63,0.95,0.32,0.95
ENG-Premier League,2425,West Ham United,Edson Álvarez,MEX,MF,26,1997,28,20,1772,19.7,0,1,1,0,0,0,9,1,0.0,0.05,0.05,0.0,0.05
ENG-Premier League,2425,West Ham United,Emerson Palmieri,ITA,"DF,MF",29,1994,31,26,2113,23.5,2,1,3,2,0,0,5,0,0.09,0.04,0.13,0.09,0.13
ENG-Premier League,2425,West Ham United,Evan Ferguson,IRL,FW,19,2004,8,1,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,West Ham United,Guido Rodríguez,ARG,MF,30,1994,23,16,1149,12.8,0,1,1,0,0,0,6,0,0.0,0.08,0.08,0.0,0.08
ENG-Premier League,2425,West Ham United,James Ward-Prowse,ENG,MF,29,1994,15,12,1039,11.5,1,1,2,1,0,0,2,0,0.09,0.09,0.17,0.09,0.17
ENG-Premier League,2425,West Ham United,Jarrod Bowen,ENG,"MF,FW",27,1996,34,34,2973,33.0,13,8,21,12,1,1,1,0,0.39,0.24,0.64,0.36,0.61
ENG-Premier League,2425,West Ham United,Jean-Clair Todibo,FRA,DF,24,1999,27,20,1825,20.3,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,West Ham United,Kaelan Casey,ENG,DF,19,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,West Ham United,Konstantinos Mavropanos,GRE,DF,26,1997,33,21,2045,22.7,0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,West Ham United,Lewis Orford,ENG,MF,18,2006,2,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,West Ham United,Lucas Paquetá,BRA,"MF,FW",26,1997,33,27,2380,26.4,4,0,4,2,2,2,10,0,0.15,0.0,0.15,0.08,0.08
ENG-Premier League,2425,West Ham United,Luis Guilherme,BRA,MF,18,2006,12,1,150,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,West Ham United,Max Kilman,ENG,DF,27,1997,38,38,3348,37.2,0,1,1,0,0,0,5,0,0.0,0.03,0.03,0.0,0.03
ENG-Premier League,2425,West Ham United,Michail Antonio,JAM,FW,34,1990,14,11,836,9.3,1,1,2,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22
ENG-Premier League,2425,West Ham United,Mohammed Kudus,GHA,"MF,FW",23,2000,32,31,2590,28.8,5,3,8,5,0,0,2,1,0.17,0.1,0.28,0.17,0.28
ENG-Premier League,2425,West Ham United,Niclas Füllkrug,GER,FW,31,1993,18,6,790,8.8,3,2,5,3,0,0,2,0,0.34,0.23,0.57,0.34,0.57
ENG-Premier League,2425,West Ham United,Oliver Scarles,ENG,"MF,DF",18,2005,15,7,665,7.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,West Ham United,Tomáš Souček,CZE,MF,29,1995,35,30,2567,28.5,9,1,10,9,0,0,8,0,0.32,0.04,0.35,0.32,0.35
ENG-Premier League,2425,West Ham United,Vladimír Coufal,CZE,"DF,MF",31,1992,22,11,1067,11.9,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,West Ham United,Łukasz Fabiański,POL,GK,39,1985,14,13,1160,12.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Alfie Pond,ENG,DF,20,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,André,BRA,MF,23,2001,33,31,2472,27.5,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Boubacar Traoré,MLI,MF,22,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Carlos Forbs,POR,MF,20,2004,10,1,239,2.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Chiquinho,POR,"FW,MF",24,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Craig Dawson,ENG,DF,34,1990,15,10,971,10.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Daniel Bentley,ENG,GK,31,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Daniel Podence,POR,"FW,MF",28,1995,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Emmanuel Agbadou,CIV,DF,27,1997,16,16,1410,15.7,1,0,1,1,0,0,3,0,0.06,0.0,0.06,0.06,0.06
ENG-Premier League,2425,Wolves,Gonçalo Guedes,POR,"MF,FW",27,1996,29,10,995,11.1,2,4,6,2,0,0,1,0,0.18,0.36,0.54,0.18,0.54
ENG-Premier League,2425,Wolves,Hwang Hee-chan,KOR,"MF,FW",28,1996,21,5,661,7.3,2,0,2,2,0,0,0,0,0.27,0.0,0.27,0.27,0.27
ENG-Premier League,2425,Wolves,Jean-Ricner Bellegarde,HAI,MF,26,1998,35,20,1677,18.6,2,7,9,2,0,0,3,0,0.11,0.38,0.48,0.11,0.48
ENG-Premier League,2425,Wolves,José Sá,POR,GK,31,1993,29,29,2609,29.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,João Gomes,BRA,MF,23,2001,36,35,2974,33.0,3,1,4,3,0,0,11,1,0.09,0.03,0.12,0.09,0.12
ENG-Premier League,2425,Wolves,Jørgen Strand Larsen,NOR,FW,24,2000,35,30,2587,28.7,14,4,18,14,0,0,4,0,0.49,0.14,0.63,0.49,0.63
ENG-Premier League,2425,Wolves,Mario Lemina,GAB,"MF,DF",30,1993,17,15,1364,15.2,1,3,4,1,0,0,4,0,0.07,0.2,0.26,0.07,0.26
ENG-Premier League,2425,Wolves,Marshall Munetsi,ZIM,"MF,FW",28,1996,14,12,1078,12.0,2,1,3,2,0,0,0,0,0.17,0.08,0.25,0.17,0.25
ENG-Premier League,2425,Wolves,Mateus Mane,POR,FW,16,2007,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Matheus Cunha,BRA,MF,25,1999,33,29,2597,28.9,15,6,21,15,0,0,4,0,0.52,0.21,0.73,0.52,0.73
ENG-Premier League,2425,Wolves,Matt Doherty,IRL,"DF,MF",32,1992,30,25,2109,23.4,2,1,3,2,0,0,6,0,0.09,0.04,0.13,0.09,0.13
ENG-Premier League,2425,Wolves,Nasser Djiga,BFA,DF,21,2002,5,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Nélson Semedo,POR,"MF,DF",30,1993,34,32,2886,32.1,0,4,4,0,0,0,8,0,0.0,0.12,0.12,0.0,0.12
ENG-Premier League,2425,Wolves,Pablo Sarabia,ESP,MF,32,1992,23,7,814,9.0,3,2,5,3,0,0,3,0,0.33,0.22,0.55,0.33,0.55
ENG-Premier League,2425,Wolves,Pedro Lima,BRA,MF,18,2006,3,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Rayan Aït-Nouri,ALG,"MF,DF",23,2001,37,37,3109,34.5,4,7,11,4,0,0,7,1,0.12,0.2,0.32,0.12,0.32
ENG-Premier League,2425,Wolves,Rodrigo Gomes,POR,MF,21,2003,25,7,810,9.0,2,0,2,2,0,0,0,0,0.22,0.0,0.22,0.22,0.22
ENG-Premier League,2425,Wolves,Sam Johnstone,ENG,GK,31,1993,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Santiago Bueno,URU,DF,25,1998,29,18,1687,18.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Tom King,WAL,GK,29,1995,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Tommy Doyle,ENG,MF,22,2001,24,3,488,5.4,0,1,1,0,0,0,1,0,0.0,0.18,0.18,0.0,0.18
ENG-Premier League,2425,Wolves,Toti Gomes,POR,DF,25,1999,31,30,2614,29.0,0,1,1,0,0,0,7,0,0.0,0.03,0.03,0.0,0.03
ENG-Premier League,2425,Wolves,Yerson Mosquera,COL,DF,23,2001,5,5,441,4.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Arsenal,Ben White,ENG,DF,28-212,1997,11,8,675,7.5,0,1,1,0,0,0,0,0,0.0,0.13,0.13,0.0,0.13
ENG-Premier League,2526,Arsenal,Bukayo Saka,ENG,"FW,MF",24-245,2001,29,23,2053,22.8,7,4,11,6,1,1,1,0,0.31,0.18,0.48,0.26,0.44
ENG-Premier League,2526,Arsenal,Christian Nørgaard,DEN,MF,32-059,1994,6,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Arsenal,Cristhian Mosquera,ESP,DF,21-315,2004,17,7,769,8.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Arsenal,David Raya,ESP,GK,30-235,1995,35,35,3150,35.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Arsenal,Declan Rice,ENG,MF,27-114,1999,34,33,2914,32.4,4,5,9,4,0,0,3,0,0.12,0.15,0.28,0.12,0.28
ENG-Premier League,2526,Arsenal,Eberechi Eze,ENG,"MF,FW",27-313,1998,29,19,1658,18.4,7,2,9,7,0,0,1,0,0.38,0.11,0.49,0.38,0.49
ENG-Premier League,2526,Arsenal,Ethan Nwaneri,ENG,MF,19-048,2007,6,0,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Arsenal,Gabriel Jesus,BRA,FW,29-035,1997,13,2,355,3.9,2,0,2,2,0,0,2,0,0.51,0.0,0.51,0.51,0.51
ENG-Premier League,2526,Arsenal,Gabriel Magalhães,BRA,DF,28-140,1997,29,28,2526,28.1,3,4,7,3,0,0,4,0,0.11,0.14,0.25,0.11,0.25
ENG-Premier League,2526,Arsenal,Gabriel Martinelli,BRA,"FW,MF",24-324,2001,28,10,990,11.0,1,3,4,1,0,0,3,0,0.09,0.27,0.36,0.09,0.36
ENG-Premier League,2526,Arsenal,Jurriën Timber,NED,DF,24-325,2001,30,28,2454,27.3,3,5,8,3,0,0,5,0,0.11,0.18,0.29,0.11,0.29
ENG-Premier League,2526,Arsenal,Kai Havertz,GER,"MF,FW",26-331,1999,9,6,440,4.9,1,2,3,1,0,0,0,0,0.2,0.41,0.61,0.2,0.61
ENG-Premier League,2526,Arsenal,Leandro Trossard,BEL,"FW,MF",31-155,1994,29,19,1821,20.2,5,6,11,5,0,0,1,0,0.25,0.3,0.54,0.25,0.54
ENG-Premier League,2526,Arsenal,Martin Ødegaard,NOR,MF,27-142,1998,22,15,1256,14.0,1,5,6,1,0,0,0,0,0.07,0.36,0.43,0.07,0.43
ENG-Premier League,2526,Arsenal,Martín Zubimendi,ESP,MF,27-095,1999,35,33,2862,31.8,5,1,6,5,0,0,4,0,0.16,0.03,0.19,0.16,0.19
ENG-Premier League,2526,Arsenal,Max Dowman,ENG,MF,16-128,2009,5,0,96,1.1,1,0,1,1,0,0,0,0,0.94,0.0,0.94,0.94,0.94
ENG-Premier League,2526,Arsenal,Mikel Merino,ESP,"MF,FW",29-320,1996,21,10,1007,11.2,4,3,7,4,0,0,1,0,0.36,0.27,0.63,0.36,0.63
ENG-Premier League,2526,Arsenal,Myles Lewis-Skelly,ENG,"DF,MF",19-224,2006,17,3,511,5.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Arsenal,Noni Madueke,ENG,"FW,MF",24-059,2002,24,15,1118,12.4,2,1,3,2,0,0,0,0,0.16,0.08,0.24,0.16,0.24
ENG-Premier League,2526,Arsenal,Piero Hincapié,ECU,DF,24-119,2002,23,19,1683,18.7,1,2,3,1,0,0,2,0,0.05,0.11,0.16,0.05,0.16
ENG-Premier League,2526,Arsenal,Riccardo Calafiori,ITA,DF,23-354,2002,23,19,1538,17.1,1,2,3,1,0,0,5,0,0.06,0.12,0.18,0.06,0.18
ENG-Premier League,2526,Arsenal,Viktor Gyökeres,SWE,FW,27-338,1998,33,25,2108,23.4,14,1,15,11,3,3,5,0,0.6,0.04,0.64,0.47,0.51
ENG-Premier League,2526,Arsenal,William Saliba,FRA,DF,25-045,2001,29,28,2434,27.0,1,0,1,1,0,0,1,0,0.04,0.0,0.04,0.04,0.04
ENG-Premier League,2526,Aston Villa,Alysson Edward,BRA,MF,20-003,2006,3,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Aston Villa,Amadou Onana,BEL,MF,24-265,2001,24,21,1740,19.3,2,0,2,2,0,0,3,0,0.1,0.0,0.1,0.1,0.1
ENG-Premier League,2526,Aston Villa,Andrés García,ESP,DF,23-090,2003,5,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Aston Villa,Boubacar Kamara,FRA,MF,26-166,1999,18,17,1411,15.7,1,3,4,1,0,0,5,0,0.06,0.19,0.26,0.06,0.26
ENG-Premier League,2526,Aston Villa,Bradley Burrowes,ENG,MF,18-065,2008,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Aston Villa,Donyell Malen,NED,"FW,MF",27-119,1999,21,5,656,7.3,4,1,5,4,0,0,0,0,0.55,0.14,0.69,0.55,0.69
ENG-Premier League,2526,Aston Villa,Douglas Luiz,BRA,MF,27-364,1998,10,6,520,5.8,1,0,1,1,0,0,1,0,0.17,0.0,0.17,0.17,0.17
ENG-Premier League,2526,Aston Villa,Emi Buendía,ARG,MF,29-134,1996,33,19,1564,17.4,6,2,8,6,0,0,6,0,0.35,0.12,0.46,0.35,0.46
ENG-Premier League,2526,Aston Villa,Emiliano Martínez,ARG,GK,33-248,1992,30,30,2655,29.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Aston Villa,Evann Guessand,CIV,MF,24-311,2001,13,6,588,6.5,0,1,1,0,0,0,0,0,0.0,0.15,0.15,0.0,0.15
ENG-Premier League,2526,Aston Villa,Ezri Konsa,ENG,DF,28-197,1997,32,32,2855,31.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Aston Villa,George Hemmings,ENG,MF,19-065,2007,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Aston Villa,Harvey Elliott,ENG,MF,23-034,2003,4,1,112,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Aston Villa,Ian Maatsen,NED,DF,24-059,2002,27,15,1436,16.0,0,1,1,0,0,0,2,0,0.0,0.06,0.06,0.0,0.06
ENG-Premier League,2526,Aston Villa,Jadon Sancho,ENG,MF,26-044,2000,22,9,875,9.7,0,2,2,0,0,0,0,0,0.0,0.21,0.21,0.0,0.21
ENG-Premier League,2526,Aston Villa,Jamaldeen Jimoh,ENG,MF,19-218,2006,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Aston Villa,John McGinn,SCO,MF,31-202,1994,27,26,1959,21.8,4,3,7,4,0,0,4,0,0.18,0.14,0.32,0.18,0.32
ENG-Premier League,2526,Aston Villa,Lamare Bogarde,NED,"MF,DF",22-123,2004,26,10,970,10.8,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Aston Villa,Leon Bailey,JAM,MF,28-272,1997,11,2,363,4.0,0,1,1,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25
ENG-Premier League,2526,Aston Villa,Lucas Digne,FRA,DF,32-292,1993,29,20,1745,19.4,0,5,5,0,0,0,3,0,0.0,0.26,0.26,0.0,0.26
ENG-Premier League,2526,Aston Villa,Marco Bizot,NED,GK,35-059,1991,6,5,495,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Aston Villa,Matty Cash,POL,DF,28-274,1997,32,32,2800,31.1,3,3,6,3,0,0,8,0,0.1,0.1,0.19,0.1,0.19
ENG-Premier League,2526,Aston Villa,Morgan Rogers,ENG,MF,23-286,2002,35,35,3100,34.4,9,5,14,9,0,0,7,0,0.26,0.15,0.41,0.26,0.41
ENG-Premier League,2526,Aston Villa,Ollie Watkins,ENG,FW,30-129,1995,34,30,2569,28.5,11,2,13,11,0,0,3,0,0.39,0.07,0.46,0.39,0.46
ENG-Premier League,2526,Aston Villa,Pau Torres,ESP,DF,29-112,1997,19,17,1568,17.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Aston Villa,Ross Barkley,ENG,MF,32-154,1993,18,5,648,7.2,2,0,2,2,0,0,1,0,0.28,0.0,0.28,0.28,0.28
ENG-Premier League,2526,Aston Villa,Tammy Abraham,ENG,FW,28-218,1997,12,2,286,3.2,2,0,2,2,0,0,0,0,0.63,0.0,0.63,0.63,0.63
ENG-Premier League,2526,Aston Villa,Tyrone Mings,ENG,DF,33-056,1993,15,13,1144,12.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Aston Villa,Victor Lindelöf,SWE,DF,31-295,1994,14,8,758,8.4,0,1,1,0,0,0,0,0,0.0,0.12,0.12,0.0,0.12
ENG-Premier League,2526,Aston Villa,Youri Tielemans,BEL,MF,29-001,1997,22,19,1665,18.5,0,4,4,0,0,0,0,0,0.0,0.22,0.22,0.0,0.22
ENG-Premier League,2526,Bournemouth,Adam Smith,ENG,DF,35-009,1991,19,11,809,9.0,0,1,1,0,0,0,3,0,0.0,0.11,0.11,0.0,0.11
ENG-Premier League,2526,Bournemouth,Adrien Truffert,FRA,DF,24-169,2001,35,35,3109,34.5,1,3,4,1,0,0,4,0,0.03,0.09,0.12,0.03,0.12
ENG-Premier League,2526,Bournemouth,Alex Scott,ENG,MF,22-260,2003,35,32,2670,29.7,3,1,4,3,0,0,4,0,0.1,0.03,0.13,0.1,0.13
ENG-Premier League,2526,Bournemouth,Alex Tóth,HUN,MF,20-197,2005,7,1,83,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Bournemouth,Amine Adli,MAR,MF,25-363,2000,29,10,1063,11.8,3,1,4,3,0,0,2,0,0.25,0.08,0.34,0.25,0.34
ENG-Premier League,2526,Bournemouth,Antoine Semenyo,GHA,MF,26-121,2000,20,20,1798,20.0,10,3,13,9,1,2,6,0,0.5,0.15,0.65,0.45,0.6
ENG-Premier League,2526,Bournemouth,Bafodé Diakité,FRA,DF,25-122,2001,18,15,1277,14.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Bournemouth,Ben Gannon-Doak,SCO,MF,20-178,2005,7,0,79,0.9,0,1,1,0,0,0,0,0,0.0,1.14,1.14,0.0,1.14
ENG-Premier League,2526,Bournemouth,Ben Winterburn,ENG,MF,21-246,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Bournemouth,David Brooks,WAL,MF,28-304,1997,29,13,1185,13.2,1,3,4,1,0,0,7,0,0.08,0.23,0.3,0.08,0.3
ENG-Premier League,2526,Bournemouth,Eli Junior Kroupi,FRA,"MF,FW",19-319,2006,30,18,1447,16.1,12,0,12,10,2,2,5,0,0.75,0.0,0.75,0.62,0.62
ENG-Premier League,2526,Bournemouth,Enes Ünal,TUR,FW,28-363,1997,20,0,200,2.2,1,0,1,1,0,0,1,0,0.45,0.0,0.45,0.45,0.45
ENG-Premier League,2526,Bournemouth,Evanilson,BRA,FW,26-214,1999,33,29,2540,28.2,6,1,7,6,0,0,2,0,0.21,0.04,0.25,0.21,0.25
ENG-Premier League,2526,Bournemouth,Hamed Junior Traorè,CIV,MF,26-081,2000,1,0,17,0.2,0,1,1,0,0,0,0,0,0.0,5.29,5.29,0.0,5.29
ENG-Premier League,2526,Bournemouth,James Hill,ENG,DF,24-118,2002,26,19,1836,20.4,0,3,3,0,0,0,3,0,0.0,0.15,0.15,0.0,0.15
ENG-Premier League,2526,Bournemouth,Julio Soler,ARG,DF,21-081,2005,3,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Bournemouth,Justin Kluivert,NED,MF,27-003,1999,18,10,919,10.2,2,0,2,2,0,0,4,0,0.2,0.0,0.2,0.2,0.2
ENG-Premier League,2526,Bournemouth,Lewis Cook,ENG,"MF,DF",29-094,1997,16,8,872,9.7,0,1,1,0,0,0,1,1,0.0,0.1,0.1,0.0,0.1
ENG-Premier League,2526,Bournemouth,Marcos Senesi,ARG,DF,28-363,1997,34,34,3018,33.5,0,5,5,0,0,0,8,0,0.0,0.15,0.15,0.0,0.15
ENG-Premier League,2526,Bournemouth,Marcus Tavernier,ENG,MF,27-047,1999,31,28,2474,27.5,6,4,10,4,2,2,5,0,0.22,0.15,0.36,0.15,0.29
ENG-Premier League,2526,Bournemouth,Rayan,BRA,MF,19-278,2006,12,10,878,9.8,4,2,6,4,0,0,1,0,0.41,0.21,0.62,0.41,0.62
ENG-Premier League,2526,Bournemouth,Ryan Christie,SCO,MF,31-075,1995,25,8,954,10.6,2,0,2,2,0,0,3,0,0.19,0.0,0.19,0.19,0.19
ENG-Premier League,2526,Bournemouth,Tyler Adams,USA,MF,27-083,1999,22,19,1544,17.2,2,2,4,2,0,0,7,0,0.12,0.12,0.23,0.12,0.23
ENG-Premier League,2526,Bournemouth,Veljko Milosavljević,SRB,DF,18-314,2007,7,4,368,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Bournemouth,Álex Jiménez,ESP,"DF,MF",21-000,2005,31,26,2317,25.7,1,0,1,1,0,0,10,0,0.04,0.0,0.04,0.04,0.04
ENG-Premier League,2526,Bournemouth,Đorđe Petrović,SRB,GK,26-212,1999,35,35,3150,35.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Brentford,Aaron Hickey,SCO,DF,23-332,2002,19,7,600,6.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Brentford,Antoni Milambo,NED,MF,21-035,2005,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Brentford,Caoimhín Kelleher,IRL,GK,27-166,1998,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Brentford,Dango Ouattara,BFA,MF,24-086,2002,29,23,2073,23.0,5,3,8,5,0,0,5,0,0.22,0.13,0.35,0.22,0.35
ENG-Premier League,2526,Brentford,Ethan Pinnock,JAM,DF,32-344,1993,4,4,318,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Brentford,Fabio Carvalho,POR,MF,23-251,2002,6,1,102,1.1,1,0,1,1,0,0,0,0,0.88,0.0,0.88,0.88,0.88
ENG-Premier League,2526,Brentford,Frank Onyeka,NGA,MF,28-127,1998,6,0,92,1.0,0,1,1,0,0,0,0,0,0.0,0.98,0.98,0.0,0.98
ENG-Premier League,2526,Brentford,Hákon Valdimarsson,ISL,GK,24-207,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Brentford,Igor Thiago,BRA,FW,24-316,2001,35,34,3012,33.5,22,1,23,14,8,9,7,0,0.66,0.03,0.69,0.42,0.45
ENG-Premier League,2526,Brentford,Jordan Henderson,ENG,MF,35-325,1990,29,21,1820,20.2,1,3,4,1,0,0,4,0,0.05,0.15,0.2,0.05,0.2
ENG-Premier League,2526,Brentford,Josh Dasilva,ENG,MF,27-197,1998,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Brentford,Kaye Furo,BEL,FW,19-091,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Brentford,Keane Lewis-Potter,ENG,"DF,MF",25-075,2001,33,19,1704,18.9,3,3,6,3,0,0,1,0,0.16,0.16,0.32,0.16,0.32
ENG-Premier League,2526,Brentford,Kevin Schade,GER,"MF,FW",24-162,2001,32,30,2537,28.2,7,3,10,7,0,1,6,1,0.25,0.11,0.35,0.25,0.35
ENG-Premier League,2526,Brentford,Kristoffer Ajer,NOR,DF,28-021,1998,25,18,1639,18.2,0,1,1,0,0,0,3,0,0.0,0.05,0.05,0.0,0.05
ENG-Premier League,2526,Brentford,Mathias Jensen,DEN,MF,30-127,1996,33,23,2013,22.4,3,1,4,3,0,0,3,0,0.13,0.04,0.18,0.13,0.18
